Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-bh27_ses-01_run-01_T1w,8559.9,256.6,14066.9,54015.9,6775.8,3092.8,4969.8,2018.9,1080.0,1952.2,20296.4,3855.3,1748.1,1137.7,503.6,4226.4,0.0,599.3,6775.6,460.0,14609.5,53547.5,6770.8,3306.0,5011.5,1672.2,4073.1,1717.3,451.3,4426.9,0.0,566.5,0.0,919.8,0.0,0.0,0.0,0.0,0.0,0.0,1128.9,699.8,882.7,1030.6,814.5,1075846.0,1055209.0,1055200.90182,228212.965956,224289.750291,452502.716247,207894.856527,204602.329042,412497.185569,55725.0,615388.716247,938541.901817,921880.901817,920733.0,1337905.0,0.745636,0.927261,6.0,11.0,17.0,1442856.33101
sub-bh27_ses-02_run-01_T1w,8582.9,283.8,13835.4,53219.7,6886.2,3189.6,5111.3,2099.0,1043.1,1931.5,20161.3,3770.6,1799.8,1126.4,501.6,4303.2,0.0,629.1,6722.5,493.7,14497.3,53372.6,6798.4,3391.7,5019.2,1680.0,3951.9,1780.8,456.1,4437.4,0.0,631.5,0.0,628.9,0.0,0.0,0.0,0.0,0.0,0.0,1125.9,689.3,889.8,983.8,825.0,1075509.0,1054765.0,1054754.38527,232083.656801,228200.472403,460284.129204,204279.863245,200793.392823,405073.256068,56201.0,622437.129204,939630.385271,922804.385271,921569.0,1335943.0,0.77945,0.968194,12.0,10.0,22.0,1379830.20235
sub-bh27_ses-03_run-01_T1w,8845.8,298.7,14145.4,53829.2,6928.4,3205.0,5121.2,2022.0,1074.8,1983.0,20182.6,3803.1,1692.3,1134.0,460.4,4226.7,0.0,627.8,6893.2,500.6,14756.8,53828.8,6849.1,3375.5,5034.9,1683.5,3973.5,1706.6,455.4,4465.9,0.0,613.5,0.0,610.1,0.0,0.0,0.0,0.0,0.0,0.0,1119.6,712.4,837.6,1010.6,815.9,1074560.0,1053217.0,1053146.84386,230490.151104,228168.674323,458658.825427,203010.195076,200738.823352,403749.018427,55958.0,621663.825427,936867.843855,919569.843855,918436.0,1334121.0,0.742672,0.922065,13.0,16.0,29.0,1446883.45941
sub-bh27_ses-04_run-01_T1w,8840.5,303.7,13932.2,53971.8,6532.1,3200.2,5095.5,2103.9,1075.2,1964.5,20360.4,3822.8,1712.2,1122.7,486.4,4347.3,0.0,686.0,6927.3,479.5,14653.2,54417.5,6611.6,3336.6,5094.5,1735.6,3984.1,1731.4,452.4,4440.1,0.0,652.7,0.0,687.7,0.0,0.0,0.0,0.0,0.0,0.0,1106.2,703.8,857.1,964.1,834.0,1073100.0,1051718.0,1051677.31737,230110.033112,222948.414813,453058.447925,204540.149225,203262.72022,407802.869444,55701.0,616354.447925,935237.31737,917858.31737,916603.0,1332336.0,0.734308,0.911699,12.0,20.0,32.0,1461376.57103
sub-bh27_ses-05_run-01_T1w,8591.3,304.9,13961.7,54342.6,6800.9,3196.2,5132.7,2072.0,1072.3,1914.6,20189.4,3886.3,1675.6,1127.4,475.5,4317.6,0.0,672.3,6780.8,491.9,14548.5,54771.9,6949.7,3377.0,5002.8,1693.2,4035.8,1660.5,461.0,4432.2,0.0,656.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.8,682.3,820.5,951.7,818.0,1079515.0,1058602.0,1058723.67371,230225.972158,225426.678302,455652.65046,206952.255185,204189.768069,411142.023254,56273.0,620192.65046,941296.673714,924313.673714,922946.0,1338367.0,0.743795,0.922146,16.0,17.0,33.0,1451361.72158
sub-bh27_ses-06_run-01_T1w,8512.0,267.8,13879.1,54217.9,6689.2,3209.7,5145.1,2149.9,1052.8,1942.2,20432.9,3787.2,1835.6,1129.1,482.1,4250.1,0.0,656.9,6716.9,480.3,14899.7,53743.1,6585.6,3421.2,5064.1,1773.1,3949.8,1798.1,439.7,4499.6,0.0,631.5,0.0,697.2,0.0,0.0,0.0,0.0,0.0,0.0,1125.2,671.3,848.6,978.5,847.0,1076274.0,1055535.0,1055332.2308,231101.404373,227289.570237,458390.974611,204309.435536,201707.820657,406017.256193,56117.0,621556.974611,938526.230803,921770.230803,920728.0,1336123.0,0.743825,0.92341,8.0,16.0,24.0,1446944.69598
sub-bh27_ses-07_run-01_T1w,8721.7,288.3,14152.0,53420.5,6814.3,3202.9,5141.5,2039.5,1065.9,1944.4,20142.3,3843.5,1663.9,1136.2,498.2,4253.5,0.0,687.4,6867.5,502.6,14670.2,53591.8,6742.5,3389.5,5085.9,1703.3,3959.7,1753.3,478.5,4478.9,0.0,661.9,0.0,613.7,0.0,0.0,0.0,0.0,0.0,0.0,1109.7,675.5,818.5,1003.3,839.8,1073808.0,1052578.0,1052617.78927,230376.004796,226411.927742,456787.932537,204406.407367,201190.449362,405596.856729,56099.0,619286.932537,937028.789267,919795.789267,918444.0,1336520.0,0.742412,0.924047,9.0,9.0,18.0,1446377.23922
sub-dn20_ses-01_run-01_T1w,7143.2,619.5,14897.7,52382.5,7464.4,3536.5,4983.5,2034.0,797.7,2252.9,21023.3,4110.6,1849.2,1133.7,594.3,4551.4,0.0,745.5,6066.8,290.6,14384.4,53917.8,7252.6,3680.0,5021.1,1785.7,4012.6,2112.4,642.3,4425.0,0.0,783.8,0.0,771.1,0.0,0.0,0.0,0.0,0.0,0.0,953.3,512.8,887.0,516.6,1373.5,1204373.0,1185416.0,1185441.66478,257279.36747,254336.699339,511616.066809,238686.596192,240082.001782,478768.597974,59772.0,678862.066809,1066318.66478,1051314.66478,1050131.0,1494536.0,0.866146,1.074821,8.0,9.0,17.0,1390496.96125
sub-dn20_ses-02_run-01_T1w,7250.4,644.3,15035.8,51778.6,7554.4,3596.8,5090.5,2047.2,767.7,2220.7,21034.5,4044.3,1900.2,1141.8,626.6,4546.1,0.0,733.6,6092.3,326.5,14421.8,53573.1,7446.7,3737.0,5222.9,1812.6,4006.5,2141.7,636.7,4398.1,0.0,813.3,0.0,557.1,0.0,0.0,0.0,0.0,0.0,0.0,962.5,514.9,892.2,521.8,1433.8,1207276.0,1188107.0,1188471.98727,260974.371744,259348.977043,520323.348786,236303.166342,237102.472144,473405.638486,60262.0,686926.348786,1070370.98727,1055137.98727,1053626.0,1491376.0,0.895546,1.106289,17.0,16.0,33.0,1348088.67318
sub-dn20_ses-03_run-01_T1w,7173.8,582.1,15059.2,52860.5,7671.9,3601.6,5099.2,1994.3,742.4,2250.1,21198.5,4069.1,1853.3,1162.1,586.9,4551.9,0.0,666.4,5989.0,300.7,14462.7,54325.3,7501.2,3758.0,5173.2,1738.1,3994.2,2034.0,625.0,4460.1,0.0,796.0,0.0,579.5,0.0,0.0,0.0,0.0,0.0,0.0,969.8,508.7,901.0,520.3,1404.6,1203017.0,1184095.0,1184213.28725,259604.285116,258771.485212,518375.770328,234223.976808,235089.540111,469313.516918,60092.0,686674.770328,1063904.28725,1048929.28725,1047663.0,1493528.0,0.917308,1.138825,18.0,7.0,25.0,1311464.45373
