Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-bh27_ses-01_run-01_T1w,8724.8,206.6,12712.3,54073.0,6691.7,3089.3,4906.6,2024.2,1119.5,2024.1,19875.9,3882.7,1531.4,1121.4,333.1,3848.5,77.6,434.1,7103.4,417.4,12943.6,53575.1,7086.2,3174.8,4866.0,1618.8,4019.5,1300.1,377.3,4058.2,9.8,342.9,0.0,513.1,0.0,0.0,0.0,0.0,0.0,258.6,1142.1,679.8,675.3,581.0,822.1,1067176.0,1046220.0,1045064.93564,227009.307256,224056.204169,451065.511425,205397.619631,201712.804586,407110.424217,53841.0,613445.511425,930883.935642,914043.935642,913046.0,1561137.0,0.724023,1.059149,11.0,15.0,26.0,1473954.00665
sub-bh27_ses-02_run-01_T1w,8768.0,149.6,12270.9,52860.7,6903.9,3210.1,5010.3,1970.4,1110.4,1960.8,19845.5,3954.2,1486.7,1057.2,385.7,3996.7,87.0,522.3,7039.0,450.3,12293.9,52732.8,7110.2,3360.1,4881.7,1775.4,3834.2,1494.4,476.4,3908.2,12.6,438.0,0.0,372.6,0.0,0.0,0.0,0.0,0.0,293.6,1150.5,669.2,648.7,536.3,799.0,1066372.0,1045398.0,1044979.04765,227919.293463,225180.236401,453099.529864,205196.243652,201681.274134,406877.517786,54620.0,614499.529864,933534.04765,916564.04765,914903.0,1578924.0,0.732578,1.084692,5.0,20.0,25.0,1455642.4068
sub-bh27_ses-03_run-01_T1w,8915.6,222.6,13068.6,53846.3,6564.6,3229.4,5000.1,2012.7,1156.9,1989.7,20085.7,3799.6,1575.9,1111.2,375.0,3916.1,73.4,562.1,7116.4,441.2,12889.0,52945.7,6988.5,3358.7,4999.5,1699.5,3945.1,1398.1,439.3,4040.3,18.7,449.8,0.0,421.1,0.0,0.0,0.0,0.0,0.0,298.7,1135.5,686.2,726.5,623.4,817.8,1067843.0,1046387.0,1046095.64014,228105.471443,224032.842626,452138.31407,205324.187173,201863.138902,407187.326074,54141.0,614022.31407,932822.640144,915507.640144,913595.0,1553107.0,0.72331,1.052007,13.0,14.0,27.0,1476327.66445
sub-bh27_ses-04_run-01_T1w,8978.2,236.4,12764.8,53836.0,6629.9,3282.6,5089.3,1974.5,1160.7,2007.4,19942.0,3849.3,1352.2,1104.0,380.3,4252.1,72.4,512.0,7191.7,403.3,13074.5,54164.1,6757.6,3412.1,5006.9,1681.6,3945.6,1308.5,438.0,4151.8,13.0,451.1,0.0,394.4,0.0,0.0,0.0,0.0,0.0,316.9,1095.7,684.7,710.9,656.7,824.5,1063628.0,1042066.0,1041564.98619,226372.406185,218778.810586,445151.216771,204493.89322,203397.8762,407891.76942,54586.0,608776.216771,927148.98619,909754.98619,907975.0,1551834.0,0.720231,1.050818,15.0,14.0,29.0,1476787.2723
sub-bh27_ses-05_run-01_T1w,8750.5,198.6,13320.1,54088.2,6868.2,3236.0,5107.5,1987.6,1150.0,1933.6,19798.2,3972.4,1478.1,1049.7,381.3,3994.2,86.8,571.2,7043.1,384.3,13163.8,54296.0,7025.2,3396.0,5065.2,1673.9,4017.2,1520.5,456.2,3989.0,25.0,455.4,0.0,434.2,0.0,0.0,0.0,0.0,0.0,289.7,1153.1,691.2,594.1,550.3,798.2,1066476.0,1045411.0,1044959.5341,223127.597801,220935.531418,444063.129219,206302.523155,204317.881724,410620.404879,55251.0,608777.129219,929258.534097,912173.534097,910257.0,1559836.0,0.721499,1.05527,15.0,19.0,34.0,1478139.06863
sub-bh27_ses-06_run-01_T1w,8713.8,185.6,12773.0,53586.2,6961.7,3234.3,5087.5,2035.4,1106.6,1937.4,20054.1,3935.5,1484.8,1058.2,361.5,4065.2,80.6,527.6,7033.0,432.3,12717.2,53595.5,6970.7,3428.3,5021.8,1710.8,3919.8,1486.3,444.8,4041.3,17.1,449.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,292.8,1125.9,662.1,673.7,633.0,833.3,1066340.0,1045428.0,1044824.54366,226519.194271,222962.36263,449481.556901,205025.380576,202317.606187,407342.986763,55166.0,612998.556901,930978.543663,914056.543663,912441.0,1569303.0,0.728705,1.072414,15.0,13.0,28.0,1463336.57843
sub-bh27_ses-07_run-01_T1w,8825.6,207.4,12435.5,53406.3,6578.2,3268.2,5083.6,2019.0,1109.8,1997.2,19880.0,3878.8,1476.4,1134.4,409.0,3943.1,76.1,583.3,7147.3,454.7,12454.9,52590.7,6951.5,3346.5,4921.5,1708.0,3978.9,1481.0,447.5,4057.4,12.7,480.2,0.0,342.0,0.0,0.0,0.0,0.0,0.0,283.7,1124.5,680.4,682.3,669.6,834.7,1063707.0,1042186.0,1041661.30232,226614.052743,222743.526474,449357.579217,205446.127974,201637.595129,407083.723103,54454.0,610737.579217,930202.30232,912805.30232,911298.0,1560043.0,0.725037,1.063346,15.0,10.0,25.0,1467107.75126
sub-dn20_ses-01_run-01_T1w,7387.1,661.7,13398.5,52767.0,7187.3,3547.8,5006.4,1986.0,756.5,2260.9,20412.8,3990.4,1777.4,1083.3,629.8,4167.0,19.1,594.2,6241.5,271.1,11842.2,52524.4,7024.0,3650.6,5086.8,1699.5,3944.6,1971.3,618.7,4171.3,33.7,737.4,0.0,855.3,0.0,0.0,0.0,0.0,0.0,186.1,958.5,500.4,512.6,513.5,992.4,1208780.0,1189587.0,1188477.60041,263369.406805,262958.774353,526328.181158,236623.267798,238229.151452,474852.41925,57848.0,689664.181158,1075909.60041,1060588.60041,1059998.0,1604079.0,0.879573,1.167214,6.0,7.0,13.0,1374280.24345
sub-dn20_ses-02_run-01_T1w,7409.8,676.4,12864.1,52230.0,7323.1,3566.7,5143.6,2003.7,770.4,2277.7,20681.2,3907.4,1796.3,1094.1,591.8,4244.9,17.6,561.8,6266.9,296.8,11828.7,52107.5,7129.0,3725.4,5085.0,1772.2,3925.4,1954.0,631.2,4047.0,68.7,817.4,0.0,564.1,0.0,0.0,0.0,0.0,0.0,216.5,937.8,495.6,562.2,516.9,990.2,1203006.0,1183561.0,1183999.49921,262112.291934,260430.851378,522543.143313,237992.811452,237672.544442,475665.355895,57946.0,684824.143313,1073215.49921,1057734.49921,1055612.0,1573583.0,0.904466,1.18308,18.0,14.0,32.0,1330073.39675
sub-dn20_ses-04_run-01_T1w,7322.7,612.6,12106.8,52896.6,7302.2,3608.9,5087.3,1899.1,785.0,2291.3,20772.3,3951.3,1776.1,1050.7,598.6,4269.1,23.0,561.0,6147.8,285.9,11773.9,52856.1,7243.2,3715.4,5228.6,1695.3,4001.0,1940.0,631.9,4265.1,61.1,809.2,0.0,585.2,0.0,0.0,0.0,0.0,0.0,210.2,950.4,520.5,543.4,508.0,1004.4,1205361.0,1186128.0,1186258.28998,262851.021878,261489.43702,524340.458899,237285.26057,237630.570509,474915.83108,58520.0,688629.458899,1074550.28998,1059262.28998,1057530.0,1594201.0,0.891235,1.17874,18.0,12.0,30.0,1352461.59372
